"","Rk","Pk","Tm","Player","College","Yrs","G","TOTMP","TOTPTS","TOTTRB","TOTAST","FG%","3P%","FT%","WS","WS/48","BPM","VORP","DraftYr","MPG","PPG","RPG","APG","playerurl","DraftYear"
"505",4,4,"LAC","Lamar Odom","Rhode Island",14,961,32131,12781,8059,3554,0.463,0.312,0.693,77,0.115,1.9,31.4,1999,33.4,13.3,8.4,3.7,"https://www.sports-reference.com/cbb/players/lamar-odom-1.html",1999
"506",5,5,"TOR","Jonathan Bender","",8,262,3847,1453,582,170,0.417,0.34,0.763,3.8,0.047,-2.6,-0.6,1999,14.7,5.5,2.2,0.6,NA,1999
"507",6,6,"MIN","Wally Szczerbiak","Miami University",10,651,20052,9195,2602,1532,0.485,0.406,0.86,53.3,0.127,0.7,13.6,1999,30.8,14.1,4,2.4,"https://www.sports-reference.com/cbb/players/wally-szczerbiak-1.html",1999
"508",7,7,"WAS","Richard Hamilton","UConn",14,921,29559,15708,2852,3125,0.449,0.346,0.852,62.8,0.102,-0.2,13.2,1999,32.1,17.1,3.1,3.4,"https://www.sports-reference.com/cbb/players/richard-hamilton-1.html",1999
"509",8,8,"CLE","Andre Miller","Utah",17,1304,40268,16278,4795,8524,0.461,0.217,0.807,100.8,0.12,1.3,33.4,1999,30.9,12.5,3.7,6.5,"https://www.sports-reference.com/cbb/players/andre-miller-1.html",1999
"510",9,9,"PHO","Shawn Marion","UNLV",16,1163,40097,17700,10101,2198,0.484,0.331,0.81,124.9,0.15,2.7,47.6,1999,34.5,15.2,8.7,1.9,"https://www.sports-reference.com/cbb/players/shawn-marion-1.html",1999
"511",10,10,"ATL","Jason Terry","Arizona",19,1410,42034,18881,3274,5415,0.444,0.38,0.845,102,0.116,1.5,37.4,1999,29.8,13.4,2.3,3.8,"https://www.sports-reference.com/cbb/players/jason-terry-1.html",1999
"512",11,11,"CLE","Trajan Langdon","Duke",3,119,1738,647,159,152,0.416,0.396,0.91,2.9,0.079,-1.1,0.4,1999,14.6,5.4,1.3,1.3,"https://www.sports-reference.com/cbb/players/trajan-langdon-1.html",1999
"513",12,12,"TOR","Aleksandar Radojević","Barton County Community College",2,15,152,26,36,7,0.308,NA,0.625,-0.4,-0.13,-11.6,-0.4,1999,10.1,1.7,2.4,0.5,"https://www.sports-reference.com/cbb/players/aleksandar-radojević-1.html",1999
"514",13,13,"OKC","Corey Maggette","Duke",14,827,23358,13198,4022,1696,0.453,0.324,0.822,62.2,0.128,0.3,13.3,1999,28.2,16,4.9,2.1,"https://www.sports-reference.com/cbb/players/corey-maggette-1.html",1999
"515",14,14,"MIN","William Avery","Duke",3,142,1205,379,93,199,0.33,0.255,0.714,-0.9,-0.034,-5.6,-1.1,1999,8.5,2.7,0.7,1.4,"https://www.sports-reference.com/cbb/players/william-avery-1.html",1999
"516",15,15,"NYK","Frédéric Weis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,1999
"517",16,16,"CHI","Metta World Peace","St. John's",17,991,31440,13058,4448,2631,0.414,0.339,0.715,61.1,0.093,1.2,25.4,1999,31.7,13.2,4.5,2.7,"https://www.sports-reference.com/cbb/players/metta-world-peace-1.html",1999
"518",17,17,"ATL","Cal Bowdler","Old Dominion",3,142,1383,424,272,29,0.404,0.182,0.768,1.8,0.061,-3.2,-0.4,1999,9.7,3,1.9,0.2,"https://www.sports-reference.com/cbb/players/cal-bowdler-1.html",1999
"519",18,18,"DEN","James Posey","Xavier",12,864,23260,7419,4061,1413,0.41,0.349,0.82,51.6,0.107,0.3,13.7,1999,26.9,8.6,4.7,1.6,"https://www.sports-reference.com/cbb/players/james-posey-1.html",1999
"520",19,19,"UTA","Quincy Lewis","Minnesota",4,159,1853,567,210,96,0.397,0.333,0.71,0.8,0.02,-4.9,-1.4,1999,11.7,3.6,1.3,0.6,"https://www.sports-reference.com/cbb/players/quincy-lewis-1.html",1999
"521",20,20,"ATL","Dion Glover","Georgia Tech",6,294,6132,2407,897,455,0.411,0.317,0.756,5.8,0.045,-1.8,0.3,1999,20.9,8.2,3.1,1.5,"https://www.sports-reference.com/cbb/players/dion-glover-1.html",1999
"522",21,21,"GSW","Jeff Foster","Texas State University",13,764,15750,3747,5248,703,0.497,0.13,0.615,47.5,0.145,-0.4,6.3,1999,20.6,4.9,6.9,0.9,"https://www.sports-reference.com/cbb/players/jeff-foster-1.html",1999
"523",22,22,"HOU","Kenny Thomas","New Mexico",11,632,17306,5876,4341,975,0.465,0.244,0.699,31.2,0.086,-1.3,3.1,1999,27.4,9.3,6.9,1.5,"https://www.sports-reference.com/cbb/players/kenny-thomas-1.html",1999
"524",23,23,"LAL","Devean George","Augsburg College",11,630,11682,3536,1975,543,0.392,0.343,0.721,18.2,0.075,-1.5,1.4,1999,18.5,5.6,3.1,0.9,"https://www.sports-reference.com/cbb/players/devean-george-1.html",1999
"525",24,24,"UTA","Andrei Kirilenko","",13,797,23916,9431,4352,2169,0.474,0.31,0.754,75.4,0.151,4.9,41.7,1999,30,11.8,5.5,2.7,NA,1999
"526",25,25,"MIA","Tim James","Miami (FL)",3,43,261,68,46,11,0.329,0.333,0.652,0,-0.003,-7,-0.3,1999,6.1,1.6,1.1,0.3,"https://www.sports-reference.com/cbb/players/tim-james-1.html",1999
"527",26,26,"IND","Vonteego Cummings","Pitt",3,199,3789,1381,373,534,0.383,0.321,0.726,2.2,0.028,-2.4,-0.3,1999,19,6.9,1.9,2.7,"https://www.sports-reference.com/cbb/players/vonteego-cummings-1.html",1999
"528",27,27,"ATL","Jumaine Jones","Georgia",8,471,9780,3325,1987,408,0.424,0.349,0.704,15.1,0.074,-1.2,2.1,1999,20.8,7.1,4.2,0.9,"https://www.sports-reference.com/cbb/players/jumaine-jones-1.html",1999
"529",28,28,"UTA","Scott Padgett","Kentucky",8,448,5613,1874,1227,325,0.41,0.373,0.736,13.2,0.113,-0.4,2.3,1999,12.5,4.2,2.7,0.7,"https://www.sports-reference.com/cbb/players/scott-padgett-1.html",1999
"530",29,29,"SAS","Leon Smith","",2,15,104,33,33,3,0.393,NA,0.647,0.2,0.112,-2.9,0,1999,6.9,2.2,2.2,0.2,NA,1999
"531",30,30,"LAL","John Celestand","Villanova",1,16,185,37,11,20,0.333,0.222,0.833,-0.1,-0.038,-7.6,-0.3,1999,11.6,2.3,0.7,1.3,"https://www.sports-reference.com/cbb/players/john-celestand-1.html",1999
"532",31,31,"LAC","Rico Hill","Illinois State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/rico-hill-1.html",1999
"533",32,32,"CHI","Michael Ruffin","Tulsa",9,414,5966,716,1632,250,0.407,0,0.459,6.8,0.055,-3.3,-2,1999,14.4,1.7,3.9,0.6,"https://www.sports-reference.com/cbb/players/michael-ruffin-1.html",1999
"534",33,33,"DEN","Chris Herren","Fresno State",2,70,1005,224,73,167,0.336,0.328,0.692,0.5,0.025,-4.5,-0.6,1999,14.4,3.2,1,2.4,"https://www.sports-reference.com/cbb/players/chris-herren-1.html",1999
"535",34,34,"BRK","Evan Eschmeyer","Northwestern",4,153,2138,421,601,76,0.463,NA,0.621,4,0.09,-3,-0.5,1999,14,2.8,3.9,0.5,"https://www.sports-reference.com/cbb/players/evan-eschmeyer-1.html",1999
"536",35,35,"WAS","Calvin Booth","Penn State",10,366,4477,1190,1010,151,0.451,0.222,0.748,8,0.086,-1.8,0.3,1999,12.2,3.3,2.8,0.4,"https://www.sports-reference.com/cbb/players/calvin-booth-1.html",1999
"537",36,36,"DAL","Wang Zhizhi","",5,137,1256,604,231,39,0.417,0.385,0.735,2.1,0.078,-1.6,0.1,1999,9.2,4.4,1.7,0.3,NA,1999
"538",37,37,"MEM","Obinna Ekezie","Maryland",4,143,1516,510,383,31,0.423,0,0.72,1.7,0.054,-5.4,-1.3,1999,10.6,3.6,2.7,0.2,"https://www.sports-reference.com/cbb/players/obinna-ekezie-1.html",1999
"539",38,38,"ORL","Laron Profit","Maryland",4,135,1537,441,209,166,0.419,0.236,0.712,0.7,0.021,-2.1,0,1999,11.4,3.3,1.5,1.2,"https://www.sports-reference.com/cbb/players/laron-profit-1.html",1999
"540",39,39,"CLE","A.J. Bramlett","Arizona",1,8,61,8,22,0,0.19,NA,NA,-0.2,-0.129,-15.9,-0.2,1999,7.6,1,2.8,0,"https://www.sports-reference.com/cbb/players/a.j.-bramlett-1.html",1999
"541",40,40,"DAL","Gordan Giriček","",6,384,8824,3670,941,584,0.442,0.368,0.823,8,0.044,-2.5,-1.1,1999,23,9.6,2.5,1.5,NA,1999
"542",41,41,"DEN","Francisco Elson","California",9,472,7207,1726,1638,260,0.478,0.188,0.7,11.7,0.078,-2.7,-1.3,1999,15.3,3.7,3.5,0.6,"https://www.sports-reference.com/cbb/players/francisco-elson-1.html",1999
"543",42,42,"MIN","Louis Bullock","Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/louis-bullock-1.html",1999
"544",43,43,"CHA","Lee Nailon","TCU",6,306,5820,2622,936,298,0.474,0.111,0.786,8,0.066,-2,0,1999,19,8.6,3.1,1,"https://www.sports-reference.com/cbb/players/lee-nailon-1.html",1999
"545",44,44,"HOU","Tyrone Washington","Mississippi State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/tyrone-washington-1.html",1999
"546",45,45,"SAC","Ryan Robertson","Kansas",1,1,25,5,0,0,0.333,0,1,0,-0.022,-5.4,0,1999,25,5,0,0,"https://www.sports-reference.com/cbb/players/ryan-robertson-1.html",1999
"547",46,46,"NYK","J.R. Koch","Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/j.r.-koch-1.html",1999
"548",47,47,"PHI","Todd MacCulloch","Washington",4,223,3439,1369,888,121,0.541,NA,0.642,11.9,0.166,0.3,2,1999,15.4,6.1,4,0.5,"https://www.sports-reference.com/cbb/players/todd-macculloch-1.html",1999
"549",48,48,"MIL","Galen Young","UNC Charlotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/galen-young-1.html",1999
"550",49,49,"CHI","Lari Ketner","UMass",2,25,139,34,34,2,0.406,NA,0.667,0,-0.015,-7.4,-0.2,1999,5.6,1.4,1.4,0.1,"https://www.sports-reference.com/cbb/players/lari-ketner-1.html",1999
"551",50,50,"HOU","Venson Hamilton","Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/venson-hamilton-1.html",1999
"552",51,51,"MEM","Antwain Smith","Saint Paul's College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/antwain-smith-1.html",1999
"553",52,52,"POR","Roberto Bergersen","Boise State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/roberto-bergersen-1.html",1999
"554",53,53,"MIA","Rodney Buford","Creighton",5,230,4182,1472,598,179,0.412,0.3,0.758,2.9,0.033,-3.8,-1.9,1999,18.2,6.4,2.6,0.8,"https://www.sports-reference.com/cbb/players/rodney-buford-1.html",1999
"555",54,54,"DET","Melvin Levett","Cincinnati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/melvin-levett-1.html",1999
"556",55,55,"BOS","Kris Clack","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/kris-clack-1.html",1999
"557",56,56,"GSW","Tim Young","Stanford",1,25,137,54,35,5,0.333,NA,0.778,0.2,0.058,-4.9,-0.1,1999,5.5,2.2,1.4,0.2,"https://www.sports-reference.com/cbb/players/tim-young-1.html",1999
"558",57,57,"SAS","Manu Ginóbili","",16,1057,26859,14043,3697,4001,0.447,0.369,0.827,106.4,0.19,5,47.6,1999,25.4,13.3,3.5,3.8,NA,1999
"559",58,58,"UTA","Eddie Lucas","Virginia Tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/eddie-lucas-1.html",1999
"560",1,1,"BRK","Kenyon Martin","Cincinnati",15,757,23134,9325,5159,1439,0.483,0.234,0.629,48,0.1,0.1,12.1,2000,30.6,12.3,6.8,1.9,"https://www.sports-reference.com/cbb/players/kenyon-martin-1.html",2000
"561",2,2,"MEM","Stromile Swift","LSU",9,547,10804,4582,2535,275,0.473,0.074,0.699,21.3,0.095,-1.6,1.1,2000,19.8,8.4,4.6,0.5,"https://www.sports-reference.com/cbb/players/stromile-swift-1.html",2000
"562",3,3,"LAC","Darius Miles","",7,446,11730,4507,2190,840,0.472,0.168,0.59,9.5,0.039,-1,3,2000,26.3,10.1,4.9,1.9,NA,2000
"563",4,4,"CHI","Marcus Fizer","Iowa State",6,289,6032,2782,1340,352,0.435,0.191,0.691,2.7,0.022,-3.7,-2.6,2000,20.9,9.6,4.6,1.2,"https://www.sports-reference.com/cbb/players/marcus-fizer-1.html",2000
"564",5,5,"ORL","Mike Miller","Florida",17,1032,27812,10973,4376,2666,0.459,0.407,0.769,60.7,0.105,0.8,19.8,2000,26.9,10.6,4.2,2.6,"https://www.sports-reference.com/cbb/players/mike-miller-1.html",2000
"565",6,6,"ATL","DerMarr Johnson","Cincinnati",7,344,5930,2121,769,304,0.411,0.336,0.789,6.4,0.052,-1.6,0.6,2000,17.2,6.2,2.2,0.9,"https://www.sports-reference.com/cbb/players/dermarr-johnson-1.html",2000
"566",7,7,"CHI","Chris Mihm","Texas",8,436,8758,3262,2302,223,0.459,0.231,0.704,13.3,0.073,-3.9,-4.3,2000,20.1,7.5,5.3,0.5,"https://www.sports-reference.com/cbb/players/chris-mihm-1.html",2000
"567",8,8,"CLE","Jamal Crawford","Michigan",20,1327,38994,19419,2948,4541,0.41,0.348,0.862,60.7,0.075,-0.1,18.4,2000,29.4,14.6,2.2,3.4,"https://www.sports-reference.com/cbb/players/jamal-crawford-1.html",2000
"568",9,9,"HOU","Joel Przybilla","Minnesota",13,592,11733,2293,3665,256,0.552,0,0.557,23,0.094,-1.7,0.8,2000,19.8,3.9,6.2,0.4,"https://www.sports-reference.com/cbb/players/joel-przybilla-1.html",2000
"569",10,10,"ORL","Keyon Dooling","Missouri",13,728,14134,5067,964,1601,0.416,0.349,0.799,18.5,0.063,-2,-0.2,2000,19.4,7,1.3,2.2,"https://www.sports-reference.com/cbb/players/keyon-dooling-1.html",2000
"570",11,11,"BOS","Jérôme Moïso","UCLA",5,145,1392,386,395,38,0.489,0,0.593,2.1,0.074,-2.9,-0.3,2000,9.6,2.7,2.7,0.3,"https://www.sports-reference.com/cbb/players/jérôme-moïso-1.html",2000
"571",12,12,"DAL","Etan Thomas","Syracuse",9,409,7084,2341,1927,149,0.513,NA,0.603,14.9,0.101,-2.1,-0.2,2000,17.3,5.7,4.7,0.4,"https://www.sports-reference.com/cbb/players/etan-thomas-1.html",2000
"572",13,13,"ORL","Courtney Alexander","Fresno State",3,187,4067,1690,409,227,0.422,0.339,0.813,4.1,0.048,-3.7,-1.7,2000,21.7,9,2.2,1.2,"https://www.sports-reference.com/cbb/players/courtney-alexander-1.html",2000
"573",14,14,"DET","Mateen Cleaves","Michigan State",6,167,1863,609,175,310,0.389,0.267,0.728,-0.8,-0.021,-5.6,-1.7,2000,11.2,3.6,1,1.9,"https://www.sports-reference.com/cbb/players/mateen-cleaves-1.html",2000
"574",15,15,"MIL","Jason Collier","Georgia Tech",5,151,2178,841,443,51,0.455,0.35,0.738,1.9,0.042,-5.4,-1.9,2000,14.4,5.6,2.9,0.3,"https://www.sports-reference.com/cbb/players/jason-collier-1.html",2000
"575",16,16,"SAC","Hedo Türkoğlu","",15,997,26695,11022,3971,2832,0.426,0.384,0.784,63.3,0.114,0.9,19.6,2000,26.8,11.1,4,2.8,NA,2000
"576",17,17,"OKC","Desmond Mason","Oklahoma State",10,643,19641,7767,2863,1049,0.449,0.26,0.74,23.1,0.056,-2.4,-2.1,2000,30.5,12.1,4.5,1.6,"https://www.sports-reference.com/cbb/players/desmond-mason-1.html",2000
"577",18,18,"LAC","Quentin Richardson","DePaul",13,783,20785,8032,3666,1138,0.397,0.355,0.718,32.8,0.076,-0.4,8.5,2000,26.5,10.3,4.7,1.5,"https://www.sports-reference.com/cbb/players/quentin-richardson-1.html",2000
"578",19,19,"CHA","Jamaal Magloire","Kentucky",12,680,14621,4917,4408,386,0.48,0,0.639,27.7,0.091,-2.9,-3.1,2000,21.5,7.2,6.5,0.6,"https://www.sports-reference.com/cbb/players/jamaal-magloire-1.html",2000
"579",20,20,"PHI","Speedy Claxton","Hofstra",7,334,8548,3096,830,1441,0.409,0.193,0.762,14.2,0.08,-0.3,3.6,2000,25.6,9.3,2.5,4.3,"https://www.sports-reference.com/cbb/players/speedy-claxton-1.html",2000
"580",21,21,"TOR","Morris Peterson","Michigan State",11,711,19366,7628,2483,1090,0.418,0.373,0.773,35.7,0.089,-0.4,7.6,2000,27.2,10.7,3.5,1.5,"https://www.sports-reference.com/cbb/players/morris-peterson-1.html",2000
"581",22,22,"NYK","Donnell Harvey","Florida",5,205,3318,1150,827,161,0.46,0.1,0.659,4.7,0.069,-2.6,-0.5,2000,16.2,5.6,4,0.8,"https://www.sports-reference.com/cbb/players/donnell-harvey-1.html",2000
"582",23,23,"UTA","DeShawn Stevenson","",13,824,18396,5930,1832,1355,0.406,0.34,0.698,12.1,0.032,-2.7,-3.5,2000,22.3,7.2,2.2,1.6,NA,2000
"583",24,24,"CHI","Dalibor Bagarić","",3,95,973,251,238,37,0.361,0,0.559,-0.9,-0.043,-7.9,-1.5,2000,10.2,2.6,2.5,0.4,NA,2000
"584",25,25,"PHO","Jake Tsakalidis","",7,315,5005,1497,1238,101,0.49,0,0.657,9.9,0.095,-3.1,-1.4,2000,15.9,4.8,3.9,0.3,NA,2000
"585",26,26,"DEN","Mamadou N'Diaye","Auburn",5,69,858,262,225,8,0.427,0,0.736,1.8,0.101,-4.2,-0.5,2000,12.4,3.8,3.3,0.1,"https://www.sports-reference.com/cbb/players/mamadou-n'diaye-1.html",2000
"586",27,27,"IND","Primož Brezec","",8,342,6192,2452,1327,179,0.498,0.167,0.701,10.8,0.084,-3.1,-1.7,2000,18.1,7.2,3.9,0.5,NA,2000
"587",28,28,"POR","Erick Barkley","St. John's",2,27,266,77,21,40,0.356,0.267,0.9,0.2,0.027,-3.7,-0.1,2000,9.9,2.9,0.8,1.5,"https://www.sports-reference.com/cbb/players/erick-barkley-1.html",2000
"588",29,29,"LAL","Mark Madsen","Stanford",9,453,5335,975,1157,181,0.457,0.063,0.527,8.2,0.074,-4.1,-2.9,2000,11.8,2.2,2.6,0.4,"https://www.sports-reference.com/cbb/players/mark-madsen-1.html",2000
"589",30,30,"LAC","Marko Jarić","",7,447,11246,3193,1200,1600,0.404,0.344,0.73,12.1,0.052,-0.7,3.8,2000,25.2,7.1,2.7,3.6,NA,2000
"590",31,31,"DAL","Dan Langhi","Vanderbilt",4,133,1253,393,199,39,0.391,0.289,0.613,0.3,0.012,-4.6,-0.8,2000,9.4,3,1.5,0.3,"https://www.sports-reference.com/cbb/players/dan-langhi-1.html",2000
"591",32,32,"CHI","A.J. Guyton","Indiana",3,80,1246,442,80,147,0.377,0.378,0.822,0.3,0.01,-2.9,-0.3,2000,15.6,5.5,1,1.8,"https://www.sports-reference.com/cbb/players/a.j.-guyton-1.html",2000
"592",33,33,"CHI","Jake Voskuhl","UConn",9,450,6443,1814,1539,237,0.487,0.333,0.714,11.6,0.087,-3.8,-3,2000,14.3,4,3.4,0.5,"https://www.sports-reference.com/cbb/players/jake-voskuhl-1.html",2000
"593",34,34,"CHI","Khalid El-Amin","UConn",1,50,936,314,81,145,0.37,0.333,0.778,0.6,0.03,-2.4,-0.1,2000,18.7,6.3,1.6,2.9,"https://www.sports-reference.com/cbb/players/khalid-el-amin-1.html",2000
"594",35,35,"WAS","Mike Smith","Louisiana-Monroe",1,17,180,51,22,10,0.322,0.167,0.625,-0.1,-0.033,-4.2,-0.1,2000,10.6,3,1.3,0.6,"https://www.sports-reference.com/cbb/players/mike-smith-1.html",2000
"595",36,36,"BRK","Soumaila Samake","",2,47,303,68,76,5,0.389,NA,0.462,0.3,0.046,-3.7,-0.1,2000,6.4,1.4,1.6,0.1,NA,2000
"596",37,37,"MIA","Eddie House","Arizona State",11,717,12405,5356,1223,1112,0.409,0.39,0.851,20,0.077,0,6.1,2000,17.3,7.5,1.7,1.6,"https://www.sports-reference.com/cbb/players/eddie-house-1.html",2000
"597",38,38,"HOU","Eduardo Nájera","Oklahoma",12,619,11213,3052,2307,493,0.481,0.311,0.671,24.7,0.106,-0.9,3,2000,18.1,4.9,3.7,0.8,"https://www.sports-reference.com/cbb/players/eduardo-nájera-1.html",2000
"598",39,39,"NYK","Lavor Postell","St. John's",3,61,446,195,45,13,0.335,0.25,0.795,-0.2,-0.025,-5,-0.3,2000,7.3,3.2,0.7,0.2,"https://www.sports-reference.com/cbb/players/lavor-postell-1.html",2000
"599",40,40,"ATL","Hanno Möttölä","Utah",2,155,2360,715,442,75,0.442,0.063,0.783,0.9,0.019,-5.9,-2.3,2000,15.2,4.6,2.9,0.5,"https://www.sports-reference.com/cbb/players/hanno-möttölä-1.html",2000
"600",41,41,"SAS","Chris Carrawell","Duke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/chris-carrawell-1.html",2000
"601",42,42,"OKC","Olumide Oyedeji","",3,93,587,127,196,11,0.495,NA,0.659,1.2,0.095,-4.3,-0.3,2000,6.3,1.4,2.1,0.1,NA,2000
"602",43,43,"MIL","Michael Redd","Ohio State",12,629,20104,11972,2411,1338,0.447,0.38,0.838,55.9,0.134,2.2,21.4,2000,32,19,3.8,2.1,"https://www.sports-reference.com/cbb/players/michael-redd-1.html",2000
"603",44,44,"DET","Brian Cardinal","Purdue",12,456,6477,2108,1050,465,0.408,0.372,0.861,15.4,0.114,-0.1,3.2,2000,14.2,4.6,2.3,1,"https://www.sports-reference.com/cbb/players/brian-cardinal-1.html",2000
"604",45,45,"SAC","Jabari Smith","LSU",4,108,1063,329,178,66,0.413,0.125,0.69,1.3,0.058,-4.3,-0.6,2000,9.8,3,1.6,0.6,"https://www.sports-reference.com/cbb/players/jabari-smith-1.html",2000
"605",46,46,"TOR","DeeAndre Hulett","College of the Sequoias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/deeandre-hulett-1.html",2000
"606",47,47,"OKC","Josip Sesar","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,2000
"607",48,48,"PHI","Mark Karcher","Temple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/mark-karcher-1.html",2000
"608",49,49,"MIL","Jason Hart","Syracuse",9,341,5289,1623,567,774,0.417,0.315,0.788,8.6,0.078,-1.2,1,2000,15.5,4.8,1.7,2.3,"https://www.sports-reference.com/cbb/players/jason-hart-1.html",2000
"609",50,50,"UTA","Kaniel Dickens","Idaho",3,19,85,22,12,2,0.4,0.333,0.75,0.1,0.055,-3,0,2000,4.5,1.2,0.6,0.1,"https://www.sports-reference.com/cbb/players/kaniel-dickens-1.html",2000
"610",51,51,"MIN","Igor Rakočević","",1,42,244,78,17,33,0.379,0.417,0.806,0.1,0.022,-4.9,-0.2,2000,5.8,1.9,0.4,0.8,NA,2000
"611",52,52,"MIA","Ernest Brown","Indian Hills Community College",1,3,21,3,6,0,0.167,NA,0.25,-0.2,-0.349,-18.2,-0.1,2000,7,1,2,0,"https://www.sports-reference.com/cbb/players/ernest-brown-1.html",2000
"612",53,53,"DEN","Dan McClintock","Northern Arizona University",1,6,58,18,17,1,0.5,NA,0,0,0.007,-7.9,-0.1,2000,9.7,3,2.8,0.2,"https://www.sports-reference.com/cbb/players/dan-mcclintock-1.html",2000
"613",54,54,"SAS","Cory Hightower","Indian Hills Community College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/cory-hightower-1.html",2000
"614",55,55,"GSW","Chris Porter","Auburn",1,51,1147,440,189,61,0.389,0,0.667,0.2,0.008,-4.5,-0.7,2000,22.5,8.6,3.7,1.2,"https://www.sports-reference.com/cbb/players/chris-porter-1.html",2000
"615",56,56,"IND","Jaquay Walls","Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/jaquay-walls-1.html",2000
"616",57,57,"ATL","Scoonie Penn","Ohio State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/scoonie-penn-1.html",2000
"617",58,58,"DAL","Pete Mickeal","Cincinnati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/pete-mickeal-1.html",2000
"618",1,1,"WAS","Kwame Brown","",12,607,13389,4035,3333,554,0.492,0.111,0.57,20.8,0.074,-2.4,-1.3,2001,22.1,6.6,5.5,0.9,NA,2001
"619",2,2,"LAC","Tyson Chandler","",19,1160,31617,9509,10467,967,0.597,0,0.644,102.1,0.155,0.1,16.9,2001,27.3,8.2,9,0.8,NA,2001
"620",3,3,"ATL","Pau Gasol","",18,1226,41001,20894,11305,3925,0.507,0.368,0.753,144.1,0.169,3.6,57.5,2001,33.4,17,9.2,3.2,NA,2001
"621",4,4,"CHI","Eddy Curry","",11,527,13109,6820,2725,287,0.545,1,0.642,21.7,0.08,-2.4,-1.3,2001,24.9,12.9,5.2,0.5,NA,2001
"622",5,5,"GSW","Jason Richardson","Michigan State",13,857,29241,14644,4245,2284,0.438,0.37,0.707,59.1,0.097,1.2,23.8,2001,34.1,17.1,5,2.7,"https://www.sports-reference.com/cbb/players/jason-richardson-1.html",2001
"623",6,6,"MEM","Shane Battier","Duke",13,977,30004,8408,4082,1717,0.437,0.384,0.743,75.7,0.121,1.7,28.2,2001,30.7,8.6,4.2,1.8,"https://www.sports-reference.com/cbb/players/shane-battier-1.html",2001
"624",7,7,"BRK","Eddie Griffin","Seton Hall",5,303,6729,2171,1744,236,0.377,0.315,0.671,10.9,0.078,-0.4,2.8,2001,22.2,7.2,5.8,0.8,"https://www.sports-reference.com/cbb/players/eddie-griffin-1.html",2001
"625",8,8,"CLE","DeSagana Diop","",12,601,8403,1185,2219,270,0.427,0.167,0.467,12.8,0.073,-1.9,0.2,2001,14,2,3.7,0.4,NA,2001
"626",9,9,"DET","Rodney White","UNC Charlotte",4,218,3354,1540,485,237,0.424,0.314,0.749,1.8,0.026,-2.2,-0.1,2001,15.4,7.1,2.2,1.1,"https://www.sports-reference.com/cbb/players/rodney-white-1.html",2001
